Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-08-29,47371.62,47527.08,47308.94,47427.99,29663142
2016-08-30,47442.34,47990.73,47375.81,47989.59,48832282
2016-08-31,47946.59,47993.46,47807.5,47935.1,53855929
2016-09-01,48045.86,48123.6,47157.85,47221.32,61752071
2016-09-02,47187.63,47413.95,47121.34,47405.71,44174917
2016-09-05,47494.31,48052.05,47494.31,47980.57,48015936
2016-09-06,48140.1,48218.25,47721.81,48081.09,49737419
2016-09-07,48232.99,48570.06,48232.99,48478.28,51665190
2016-09-08,48533.07,48636.67,48083.9,48129.15,46085844
2016-09-09,48062.45,48121.71,47304.12,47326.14,40837070
2016-09-12,46904.26,47046.26,46321.24,46756.18,43849545
2016-09-13,46951.94,47099.59,46599.79,46797.85,47771809
2016-09-14,46911.63,47069.79,46780.88,46988.55,31111198
2016-09-15,47067.56,47221.3,47027.43,47198.39,33507136
2016-09-16,47254.48,47294.31,47018.53,47166.67,63147219
2016-09-19,47345.25,47649.61,47311.28,47405.08,34087693
2016-09-20,47323.45,47528.84,47266.99,47528.84,36548575
2016-09-21,47569.98,47660.82,47513.57,47625.23,47824498
2016-09-22,47854.67,48154.88,47589.6,48154.88,82105873
2016-09-23,48091.47,48091.47,47580.02,47865.78,45722846
2016-09-26,47641.42,47641.42,47226.31,47448.1,38112243
2016-09-27,47458.49,47496.49,46930.43,47278.65,47041438
2016-09-28,47310.88,47428.93,47118.15,47317.71,44618582
2016-09-29,47554.4,47644.51,47203.89,47494.62,46798526
2016-09-30,47208.49,47446.57,47084.94,47084.94,53946578
2016-10-03,47169.38,47438.24,47106.19,47399.32,32210922
2016-10-04,47524.09,47976.57,47505.51,47900.66,51456041
2016-10-05,47927.81,48141.42,47722.85,48017.65,50173107
2016-10-06,48006.01,48058.5,47808.74,48014.44,42774330
2016-10-07,48046.12,48047.43,47762.81,47762.81,39542355
2016-10-10,47929.53,48093.71,47825.88,48027.79,27664100
